"File","Sheet","Year","Competition","Pos.","Athlete","Round1","X.1","Round2","X.2","Tot.","X10","X9","Sex","Age","Style","Hits","Golds","Round_type"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","1","WISE Alex","290","2","294","1","584","45","14","M","","R",NA,"59","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","2","WOOD Antony","293","1","290","2","583","44","15","M","","R",NA,"59","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","3","LOCK Andrew","275","3","262","3","537","20","24","M","","R",NA,"44","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","4","MEECH Terry","256","4","259","4","515","10","24","M","","R",NA,"34","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","5","HARDING Phil","230","7","254","5","484","12","21","M","","R",NA,"33","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","6","VAN WYK Geoff","246","5","235","6","481","8","24","M","","R",NA,"32","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","7","JAMES Simon","235","6","235","7","470","8","16","M","","R",NA,"24","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQMR","2021","Waterside_Archers_Indoor_Tournament_WA18","8","VENUS Paul","222","8","219","8","441","5","20","M","","R",NA,"25","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWR","2021","Waterside_Archers_Indoor_Tournament_WA18","1","KING Wendie","263","1","270","1","533","19","20","W","","R",NA,"39","WA18"
"1aterside_Archers_Indoor_T_2021.xlsx","IQWR","2021","Waterside_Archers_Indoor_Tournament_WA18","2","WALSH Claire","236","3","264","2","500","9","27","W","","R",NA,"36","WA18"
